,type,date,count
178,SAFETY,2018-03,764
179,SAFETY,2018-04,698
180,SAFETY,2018-05,61
181,Taxi Complaint,2013-01,1043
182,Taxi Complaint,2013-02,1091
183,Taxi Complaint,2013-03,1391
184,Taxi Complaint,2013-04,1579
185,Taxi Complaint,2013-05,1634
186,Taxi Complaint,2013-06,1512
187,Taxi Complaint,2013-07,1429
188,Taxi Complaint,2013-08,1340
189,Taxi Complaint,2013-09,1362
190,Taxi Complaint,2013-10,1340
191,Taxi Complaint,2013-11,1258
192,Taxi Complaint,2013-12,1262
193,Taxi Complaint,2014-01,1157
194,Taxi Complaint,2014-02,1158
195,Taxi Complaint,2014-03,1470
196,Taxi Complaint,2014-04,1337
197,Taxi Complaint,2014-05,1753
198,Taxi Complaint,2014-06,1716
199,Taxi Complaint,2014-07,1325
200,Taxi Complaint,2014-08,1238
201,Taxi Complaint,2014-09,1319
202,Taxi Complaint,2014-10,1366
203,Taxi Complaint,2014-11,1117
204,Taxi Complaint,2014-12,1098
205,Taxi Complaint,2015-01,868
206,Taxi Complaint,2015-02,1044
207,Taxi Complaint,2015-03,1186
208,Taxi Complaint,2015-04,1193
209,Taxi Complaint,2015-05,1402
210,Taxi Complaint,2015-06,1783
211,Taxi Complaint,2015-07,1589
212,Taxi Complaint,2015-08,1516
213,Taxi Complaint,2015-09,1672
214,Taxi Complaint,2015-10,1724
215,Taxi Complaint,2015-11,1454
216,Taxi Complaint,2015-12,1432
217,Taxi Complaint,2016-01,1109
218,Taxi Complaint,2016-02,1208
219,Taxi Complaint,2016-03,1421
220,Taxi Complaint,2016-04,1421
221,Taxi Complaint,2016-05,1435
222,Taxi Complaint,2016-06,1373
223,Taxi Complaint,2016-07,1247
224,Taxi Complaint,2016-08,1166
225,Taxi Complaint,2016-09,1200
226,Taxi Complaint,2016-10,1107
227,Taxi Complaint,2016-11,1062
228,Taxi Complaint,2016-12,1139
229,Taxi Complaint,2017-01,873
230,Taxi Complaint,2017-02,776
231,Taxi Complaint,2017-03,995
232,Taxi Complaint,2017-04,1156
233,Taxi Complaint,2017-05,1385
234,Taxi Complaint,2017-06,1382
235,Taxi Complaint,2017-07,1012
236,Taxi Complaint,2017-08,1003
237,Taxi Complaint,2017-09,1279
238,Taxi Complaint,2017-10,1404
239,Taxi Complaint,2017-11,1267
240,Taxi Complaint,2017-12,1220
241,Taxi Complaint,2018-01,1035
242,Taxi Complaint,2018-02,1020
243,Taxi Complaint,2018-03,1350
244,Taxi Complaint,2018-04,1180
245,Taxi Complaint,2018-05,91
246,Traffic,2013-01,165
247,Traffic,2013-02,144
248,Traffic,2013-03,166
249,Traffic,2013-04,261
250,Traffic,2013-05,326
251,Traffic,2013-06,293
252,Traffic,2013-07,238
253,Traffic,2013-08,286
254,Traffic,2013-09,281
255,Traffic,2013-10,217
256,Traffic,2013-11,228
257,Traffic,2013-12,179
258,Traffic,2014-01,325
259,Traffic,2014-02,210
260,Traffic,2014-03,222
261,Traffic,2014-04,285
262,Traffic,2014-05,409
263,Traffic,2014-06,386
264,Traffic,2014-07,282
265,Traffic,2014-08,321
266,Traffic,2014-09,402
267,Traffic,2014-10,334
268,Traffic,2014-11,313
269,Traffic,2014-12,294
270,Traffic,2015-01,176
271,Traffic,2015-02,261
272,Traffic,2015-03,300
273,Traffic,2015-04,411
274,Traffic,2015-05,595
275,Traffic,2015-06,658
276,Traffic,2015-07,519
277,Traffic,2015-08,386
278,Traffic,2015-09,487
279,Traffic,2015-10,541
280,Traffic,2015-11,427
281,Traffic,2015-12,408
282,Traffic,2016-01,337
283,Traffic,2016-02,245
284,Traffic,2016-03,372
285,Traffic,2016-04,473
286,Traffic,2016-05,603
287,Traffic,2016-06,629
288,Traffic,2016-07,448
289,Traffic,2016-08,414
290,Traffic,2016-09,672
291,Traffic,2016-10,459
292,Traffic,2016-11,513
293,Traffic,2016-12,411
294,Traffic,2017-01,287
295,Traffic,2017-02,277
296,Traffic,2017-03,435
297,Traffic,2017-04,449
298,Traffic,2017-05,738
299,Traffic,2017-06,651
300,Traffic,2017-07,395
301,Traffic,2017-08,412
302,Traffic,2017-09,518
303,Traffic,2017-10,627
304,Traffic,2017-11,455
305,Traffic,2017-12,299
306,Traffic,2018-01,250
307,Traffic,2018-02,230
308,Traffic,2018-03,369
309,Traffic,2018-04,385
310,Traffic,2018-05,46
